红外靶直径,1920
目标点,251,242,5.99999986588955,#FF800080
目标点,265,274,5.99999986588955,#FF800080
目标点,145.5,145.5,5.99999986588955,#FF800080
目标点,145.5,145.5,5.99999986588955,#FFFF0000
序号,射速,射频,时间戳,X,Y,大小,出界
1,0,0,20192219122241028,206,252,3,
2,0,0,20192219122241174,60,186,3,
3,0,0,20192219122241317,101,209,3,
4,0,0,20192219122241454,2,27,3,*
5,0,0,20192219122241599,43,49,3,
6,0,0,20192219122241920,42,209,3,
7,0,0,20192219122242224,41,77,3,
8,0,0,20192219122242520,88,119,3,
9,0,0,20192219122242797,169,165,3,
10,0,0,20192219122243120,168,33,3,
